species	local_genome_fasta_file	source	fasta_parent_url	remote_genome_fasta_file	status	note
Acyrthosiphon_pisum	GCF_005508785.2.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/508/785/GCF_005508785.2_pea_aphid_22Mar2018_4r6ur_v2/	GCF_005508785.2_pea_aphid_22Mar2018_4r6ur_v2_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Aedes_aegypti	GCF_002204515.2.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/204/515/GCF_002204515.2_AaegL5.0/	GCF_002204515.2_AaegL5.0_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Aegilops_tauschii	GCF_002575655.3.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/575/655/GCF_002575655.3_Aet_v6.0/	GCF_002575655.3_Aet_v6.0_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Anas_platyrhynchos	GCF_047663525.1.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/047/663/525/GCF_047663525.1_IASCAAS_PekinDuck_T2T/	GCF_047663525.1_IASCAAS_PekinDuck_T2T_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Anopheles_gambiae	GCF_943734735.2.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/735/GCF_943734735.2_idAnoGambNW_F1_1/	GCF_943734735.2_idAnoGambNW_F1_1_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Apis_mellifera	GCF_003254395.2.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/254/395/GCF_003254395.2_Amel_HAv3.1/	GCF_003254395.2_Amel_HAv3.1_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Arabidopsis_thaliana	GCF_000001735.4.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/735/GCF_000001735.4_TAIR10.1/	GCF_000001735.4_TAIR10.1_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Arachis_hypogaea	GCF_003086295.3.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/086/295/GCF_003086295.3_arahy.Tifrunner.gnm2.J5K5/	GCF_003086295.3_arahy.Tifrunner.gnm2.J5K5_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Bombyx_mori	GCF_030269925.1.fasta	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/269/925/GCF_030269925.1_ASM3026992v2/	GCF_030269925.1_ASM3026992v2_genomic.fna.gz	verified	NCBI genome FASTA is in the same parent folder as annotation
Bos_grunniens	Bos_grunniens.LU_Bosgru_v3.0.dna.toplevel.fasta	Ensembl release 115 GTF	https://ftp.ensembl.org/pub/release-115/fasta/bos_grunniens/dna/	Bos_grunniens.LU_Bosgru_v3.0.dna.toplevel.fa.gz	verified	Ensembl genome FASTA is in the release-115 fasta DNA folder
